text,tags,
i have a 35 year old son staying with me. he has been since this covid thing started.  he does not work.  is it bad of me to want him to leave?  i am just wanting my apartment back.  he is not contributing to the bills,family,
porn.,emotional,
i may have a stomach virus or the corona virus the doctor said he can't say which. i called the e. r. where i live and they don't do tests there plus there's no drive through resting around where i live i work with the public in the deli department ,medical,
addiction,medical,
is on my case. i’m only one that’s left,emotional,
"full time caregiver, full time worker,divorce and a mom to my ex husband daughter.",family,
verbal abuse by customers. lack of support from management.,work,
anxiety of possibly the coronavirus to my soon to be one year old son.,emotional,
i feel like i should i wear the gloves,emotional,
my boss makes me feel __she does nothing when the other workers take a 30 minute breaks,work,
stress makes me feel,emotional,
having trouble with being discredited by other coworkers and leads and supervisors mangers,work,
uncaring management,work,
hello to all of my brother's and sisters in christ my name is edwin montanez and i'm in a program and l have been clean for 9month and l feel great but i have a sister with 4kids that is staying in a hotel with her kids and l can't help her l have no where to live l have no car l have no 💰,emotional,
what get back to work. cuz can wear a mask feeling that cant breathe. so they get a shield still waiting no answer. this is really stress out can you help me and got pay my bills too,work,
going back to work after quarantine,work,
k,emotional,
work stress as a optical manager,work,
feeling safe at work,work,
where can you gold panning in pueblo along the arkansas river,money,
no people to relieve me for break,work,
just curious what this is for,emotional,
"depression, low self esteem, not finding love",emotional,
"found out today one of our walmart co-workers tested positive for the virus,i am not taking it very well, scary situation.",work,
my stress makes me feel __nervous and dont want to go to work__,emotional,
the masks we have to wear make it hard to breathe is there a better mask that allows air flow,medical,
hi,emotional,
no emotional sex,emotional,
work makes me feel good ,work,
stress at home taking time off work to care for my husband  who just had back surgery.,family,
not enough courage,emotional,
seperate living from spouse,emotional,
"depression, infidelity, anger, relationship ",family,
my struggle is with my job cause i'm old.,work,
if u get hurt on the job do u aurumically have to go and get tested,medical,
"i know walmart doesn't tell the public if someone is positive, so how do we know if other companies are doing as walmart and not saying if one of the vendors are testing positive.",work,
not having enough money.,money,
i'm on a leave of absence no money coming in,money,
"hello im recently released from federal prison,i want to get a loan to start a company that will help ex offenders with a good job an secrety in there struggle to stay free",work,
a nice pay raise or a bonus would be nice,work,
unreal world ,emotional,
money problems,money,
not finding love,emotional,
depression and being lonely,emotional,
personal and financial,money,
i'm having a difficult time wearing a face mask .  it's very hot. feel like cant breathe. not enough oxygen  i guess and i start coughing.  i sleep all night with a cpap already then a mask all day is ruff.,medical,
my life makes me feel like i want give up and just kill myself,emotional,
how to change jobs,work,
how does this app work,zp,
"i work at walmart.  i'm 67, and have copd and emphysema.  i am full time and need my money for bills, however, i don't want this disease. .  i don't want to stop work at all, but i'm truly scared.  what do i do?",work,
i’m worried as an associate about my safety and my coworkers. we need more protection from this virus or just need to close the doors. i don’t feel safe and feel like our safety is not a concern,work,
i recently put in for a face shield having trouble breathing wearing a mask i have severe copd asthma and allergies they gave me and leave i go to work and am told i'm on leave. i. didn't ask for a leave ? then i'm told it's denied seeing my doctor tomarrow to see what she told them,medical,
my something makes me feel frustrated,emotional,
my relationship makes me feel _sad___,emotional,
something makes me feel  frustated,emotional,
my stress makes me feel some day's my chest hurts when i get to work.i am a senoir citizen and so is my room mate.so neither of us need to get infecte.,emotional,
my relationship makes me feel unwanted and loved,emotional,
my work makes me feel,work,
fatigue,medical,
the rude customers and no managers in site to handle the situation,work,
covi,medical,
walmart worker everything falling apart,work,
i've been working at walmart 411 years today and i love my job there but this last year with this coronavirus has been very stressful and difficult the people are very anxious and not patient and sometimes they can be very ugly we are putting our lives on the line for others,emotional,
mental,emotional,
fighting sick,medical,
being asthmetic and have to go to work in order to recieve money.,work,
"depression anxiety getting upset over stupid thing's  and let it eat a me, dont trust no one",emotional,
need more help,emotional,
not making customers where masks also,work,
my stress makes me feel like a failure because i can’t handle it on my own. i want to be able to help myself.,emotional,
the struggle,emotional,
whydo assosiates have to wear masks and customers do not?,work,
my boss makes me feel stupid and lazy. like a total piece of shit,work,
my work makes me feel suffocation,work,
wearing a mask,work,
i am a ap associate at wal-mart i am 71 years old i need to work but i am scared of getting the virus,work,
my work makes me feel unsafe,emotional,
why i can't talk to personal?,work,
work at walmart during the covid 19 epidemic how do we keep ourselves sane during all the craziness,work,
why don't you all have support people at work like a councelor to help out with issues from this terriable pendimic,emotional,
i'm alone on christmas day. i've been trying to get a loan to bringmy sweetheart back home from university in austria. she wants to leave because she is lonely and misses me. she has enough points for her master's degree. i'm so miserable,emotional,
i'm out on loa for pancreatitis! struggling financially,medical,
"there is a person i work with that goes out of her way to make me miserable. the stress we've been under has only made things worse. i have spoken to her privately, but all she says is ""thats just how i am"". ",work,
"i feel like no matter what i do, it's not good enough.",emotional,
my stress makes me feel ___sad_,emotional,
this. vrius,medical,
substance abuse,medical,
im home sick,family,
customers ,work,
my something makes me feel __lonesome__,emotional,
my stress makes me feel ___like eatting_,emotional,
home,family,
most customers are mean and nasty. they argue about the six foot rule.  they argue about the one per person rule. they are allowed to swear and call us names. moral on front end is way down,work,
i'm a high risk essential employee who wants paid leave from work,work,
my boss makes me feel incompetent,work,
my relationship makes me feel sad,emotional,
my relationship makes me feel unwanted ,family,
my something makes me feel bad,emotional,
son is recovering from addiction and i stay on edge that he will relaps,medical,
my struggle is just because our fresh cap 1 team is out. management thinks just because i know how to do it. that it is ok that they pull me from my baking job to do the meat department. when i said i didnt want to do it i got threatened about insubordination.,work,
grandson was in hosp with double phenomena. not c 19 thank goodness but doc that treated him in hosp would not see him for a follow up visit to get a bk to work note without 200.00 he does not work for walmart.  not he is out of a job,family,
needing money and having to work there and take chances of getting the virus,money,
not sure,emotional,
fiance problems and my kids,money,
my family makes me feel,emotional,
hello shit world,emotional,
we're getting chump change bonuses when other places are getting hourly increases and/ or hazard pay.,work,
"i feel like we all need more money for coming everyday, and dealing with the public because some people have no regard for others by coming out ,making other sick while they are infected with the virus. the number of cases have doubled in less than 2 weeks . and now we have a confirmed case in store",work,
why are we not getting a “working in danger” pay increase?,work,
i think we should be making more money for what we are doing and how hard we work. and all that we are dealing with. and risking our lives in our work .,work,
abusive customers,work,
home repairs,family,
domeativ violence,emotional,
"i have such a heavy heart because i miss my work at walmart! i miss my customers, and coworkersare six people i have lost in the past three and a half weeks now. 2 suicides 4 covid-19 ! i talk via text and i try to keep their spirits up. this is such a hard time for us all, and a very scary time.",work,
not doing enough to protect  associates,work,
myself,emotional,
hate people,emotional,
my something makes me feel pain,emotional,
what will happen to the dm positions when the team lead rolls out?,work,
my work makes me feel extremely overwhelmed ,work,
anxiety and fear,emotional,
my life makes me feel happy,emotional,
our store has a case of covid and are not letting others stay home with pay. some of them are older and concerned,work,
find a apartment,money,
my boss makes me feel stupid,work,
why is walmart making us wear masks. and if not 2 unpaid weeks off and then your fired.,work,
i need to change my luck,emotional,
putting up with the way we get treated,work,
my stress makes me feel sad,emotional,
i,emotional,
dealing with the death of my husband for 37 years. i miss him everyday.,emotional,
my relationship makes me feel _like i'm not doing enough for my sick boyfriend.___,family,
racism,emotional,
my stress makes me feel ___anxious  and anxiety _,emotional,
work makes me feel tired ,work,
saving money,money,
life makes me feel  like i am tired.,emotional,
lack of help,emotional,
arteritis ,medical,
"my work makes me feel stressful,i'm a cashier.with all this going on i'm just scared.",emotional,
not feeling appreciated working through the covid 19 and going to work no call out,work,
"struggling with rent and utilities,  have back injury only working 16 hours",money,
i try my best to be so nice to people that come thur my line. and then they are so mean like everything is going on is my fault.,emotional,
my struggle is with drugs,medical,
co workers,work,
my relationship makes me feel worthless,emotional,
can we please get two day off together,work,
wealth,money,
work makes me feel tired,work,
wondering about the emergancy cares act payed family leave,work,
broken arm,medical,
verbal and emotional abuse,work,
life makes me feel,emotional,
trying to find out where my stimulus check is,money,
have enough  people  working  every  day. and get break  on time,work,
not knowing when walmart will change to the great work place. it stresses me not knowing when and what it is.,work,
partner with cancer,medical,
scared i'm going to get my kids and husband sick,emotional,
wearing masks and it's hot,medical,
i feel too many people are abusing the covid no points idea. yes it is nice but when people are on sedge-wick and still don't get points any other time. they can be gone more than they work.  it seems to be a lot of the same people calling in all the time. yes i know there are struggles. limits need,work,
being in the public with covid-19,medical,
i miss working for walmart. i really messed up. i was working at a walmart and i loved my job but when i lost my brother from cancer in december i lost my way. they gave me time to grieve i wasn't even on the schedule but i never went back. i never called them. i got so depressed.,work,
my struggle is having a secure store at night. the ap manager and the evening crew think it's ok to leave the door open. our night door person was moved to a day shift.,work,
depression and grief,emotional,
done working,work,
medical,medical,
finding a partner,emotional,
customers not wearing masks,work,
"very stressful dealing with customers that don't wear masks and don't follow the social distancing,they are very rude and angry,",work,
abusive marriage,emotional,
have not received a stimulus check.,work,
my work makes me feel hard working,work,
paying bills ..been off work for 2 and half months and struggling with that,money,
rude customers,work,
my stress makes me feel not good enough,emotional,
are we suppose to wear masks,work,
working in the public with covid and bringing it home to my kids,work,
enjoying,emotional,
es la fata de travajo y la falta de compression  acia el travajador especial mente para la gente mayor de edad,emotional,
paying medical bills,money,
"i worked very hard for walmart, i want a chance to go back and work even harder!!",work,
grandson was in hosp with double phenomena. not c 19 thank goodness but dic that treated him in hosp would not see him for a follow up visit to get a bk to work note without 200.00 he does not work for walmart.  not he is out of a job,medical,
working by myself and then having to work with some that doesn’t believe this is real. he doesn’t wash his hands or clean up after himself.,work,
need to give us to days off together so we can rest,work,
i was told store 159 had a employee tested positive for covid.,work,
my family makes me feel happy and loving,family,
goodman,emotional,
money ,money,
my boyfriend has a mental illness. he crossed the line and scared my 13 yr old son. i had to kick him out of my house.  i care about his safety because he's living in his car. i want to help him. i don't know what to do,emotional,
going.to.work.no.way.to.get.to.work.and.the.work.enverment.,work,
money,money,
my husband has heart failure and i’m scared of going to work and catch the virus and bringing it home. what should i do? i don’t have time to put in to take off work so i’m not sure what i can do but he wouldn’t live if i brought it home. and if i stay home could i lose my job.,family,
virtual...,emotional,
substance dependency an life in general,medical,
wal-mart,work,
life makes me feel aweful. like there is absolutely no point to any of it and death would be preferable most days.,emotional,
a co associate acting to be in charge,work,
the masks need to go... half the customers don’t wear them... neither should we... and don’t give me the bull shit about protection,medical,
kust gove support to others and to tell my stoey,emotional,
does anyone know about how much brake fluid it takes in ounces to change all fluid on a 2006 dodgetruck 2500 5.9 liter ?,emotional,
i need too work 4 days not 3. days,work,
"so tired today , life never stops",emotional,
what is the call out policy  for  older people who work at walmart and have compromised health,work,
"financial, health stresz",money,
stress makes me feel frustrated all the time...i don't know to to deal with it,emotional,
having to wear a mask,emotional,
relationship and love life,emotional,
well right now i need some cash because i'm trying to get a date setup with a women that i like from high school that is finally single,work,
i am in a four person team that is rolling out a new benifit for customers. it has only been a week but i already feel like its become a clique and i am not invited.,work,
my stress makes me feel very sad..single parent...im in elko nevada walmart because of a hardship ....,family,
my life makes me feel __unuseful__,emotional,
was going through anxiety due to the coronavirus with underlying conditions and finding out i had breast cancer all that same week! scared to go out!!! just go out to my doctors appointments do a quick stop at the store and straight home! haven’t seen my daughter and my grandkids since march 14!!,medical,
trouble finding the tools that you need to get the job done and there is rarely enough people to get the job done but still they want it done and another thing is the location that i'm at it seems like it's different rules for different people!!,work,
i never received the $150 for part time workers,work,
stuck in a monotonous job that leaves me feeling numb and disconnected.  lost the job i actually enjoyed two years ago.  lost my best friend last year.,work,
stressed,emotional,
why should i work for the same pay when other companies are giving $2 more in hazard pay?,work,
keeping bills paid,money,
"health issues,trouble w stress from work the understaffing wearing the mask for 8 hour shift",medical,
asthma,medical,
my work makes me feel ,work,
my stress makes me feel __overwhelmed_sometimes knowing all there's left to do is wait & see,emotional,
my age (i am 62) and everyday exposure to the coronavirus while working worried about being carrier to others in my family at home afraid to go see family members in other states,family,
my work makes me feel like there is no suppervision at all. associates can do what ever they want to. managers. don't even pay attention to what is going on in their store. instead they spend more time in office.. their not even people person. ,work,
my work makes me feel unappreciated,work,
i'm transgender and i've told some people in my work place and i have super helpful and nice really good friends but now that people know i'm trans i wanna dress a little differently so i feel more comfortable well i keep backing out of it and saying iil do it another day how do i feel comfortable?,emotional,
"work has been stressing me out, my marriage is struggling and i'm so sad about my mama she has dementia and isnt being cared for properly.",work,
"self love,  care, putting myself",emotional,
mortgage payments,money,
i feel like i'm a failure at work. i keep making mistakes lately and i dont understand why.,emotional,
just stressed out. my life has been a complete bad dream since july.  i am so stressed out and can't sleep at all. only had about 4 hours of sleep in 2 days.,emotional,
the masks we have to wear make it hard to breathe is there a better mask that allows air flow,work,
i'm struggling hard with money in my life. i'm going back to school soon and it's hard paying for what i need to pay and still having money left over..,money,
pain,medical,
my large corporate employer will not provide any financial relief while i am tending to my 5 children at home for the duration of school closures.,work,
shitty coworker,work,
anxiety and relationships,emotional,
having too many people call in just because they can and not getting a point !! too short handed !! makes me not wanting to be there at all.,work,
my something makes me feel,emotional,
our stores here in nj should close earlier. not just the 24 hour stores but all stores.,work,
i need to get my ged fast and i want to do the pharmacy technician,emotional,
my stress makes me feel out of control especially when i’m an emotional mess and have to go to work. ,emotional,
reath . the mask is a pain,medical,
i work for walmart.  with no sanitizer at the front doors i am thinking of taking a leave of absence due to frustration with this.,work,
my work makes me feel stressed and overwhelmed,work,
my work makes me feel depressed full of anxiety and ignored.,work,
i may need a knee replacement looking for information about going ohio how or where do i find this information,medical,
financial problems,money,
about my job i have underlaying health problems .the(dr) dont feel it would be safe for my return at this time .i need the job an want to return .but would be in danger from other ppl.i am by myself an dont know what to do .thanks for help. ,work,
fiances,money,
just dealing with rude customers,work,
life makes me feel so tired.,emotional,
"but this customer  aren't  respected  our space and very rude  to others  , but knowing  what we have to do to continue  doing our part at walmart , thank you for giving us our chance  to give them what they need , and praying together  👬👭👫🙏",work,
hours,work,
"i cheated on my husband and i don't exactly know why. i feel. terrible for my actions and i want to make things right since we have small children together. at that time i needed attention that he wasn't giving me, i needed to escape from my daily life, i was always drinking with this other friend",emotional,
i am no longer a employee of walmart but i do have some input on the employee treatment when i started i was told that walmart was a family and they took care of their employees they don’t hire enough employees they want one person to do two people’s work in an eight hour day no overtime.,work,
"my mortgage is just shy of one paycheck per month. my wife is out of work and i have two adult sons living at home. they have no problem accepting my generosity, however their financial help is seldom if next to never.",money,
i need more money to pay for food ,money,
everyday,emotional,
just curious,emotional,
my family makes me feel ststressed because i try to be everything to everyone.,family,
i never received the $150 for part time workers went on leave on 17 march due to loss of childcare so i worked more than half the month,money,
my boss makes me feel ___beneethe him.looking and planning to get me fired ,work,
need help getting an apartment because i'm homeless & i have no one to turn to,money,
i worked at wal mart for 25 years had a stroke and to go on disability and soon retired but i miss being and seeing my friends,emotional,
my stress makes me feel ___lonely_,emotional,
my work makes me feel ungratful for what i do,work,
looking for way to pay mom hospital bill in africa,money,
"i work 1 hour and 15 minutes away from home, where my parents live with me and are both disabled. i am having trouble keeping up with everything and it is stressful",emotional,
"my stress makes me feel _tired, but unable to sleep well___",emotional,
i have been with wal-mart for over 10yr why do i still make under 12h i work just as hard or harder than my coworkers ?,work,
worked for walmart 34 years and not one manager of hr person has called me why i’ve been out for medical,work,
my life makes me feel ,emotional,
was just told that three people in our store have the corvid 19,work,
customer service,work,
workmen  comp,work,
my work makes me feel scared,work,
not doing enough to protect  associates,work,
making it thru each day,emotional,
just wondering if we are going to get more pay during this virus if we are working now,work,
staffing,work,
help with bills,money,
wearing masks bc of corona virus,medical,
my boss makes me feel uncomfortable.,work,
help support for non curable diseases,medical,
no place to live no money,money,
have a  very very hard time  wearing  the mask  all day,emotional,
getting back home safe,emotional,
my something make,emotional,
my something makes me feel __like i'm not sure how much more i can take__,emotional,
"nervous about going into work today,and starting this new beginning in my life",money,
my stress makes me feel worn out,emotional,
my something makes me feel unimportant,emotional,
it has so much going on !,emotional,
"i was told yesterday that one,maybe two of our associates in store1767 had the virus. they are room mates, and stayed out of work for two weeks.they both came back to work yesterday. should our management have told us that the virus was in the store?",work,
i'm kinda dating a guy that has a girlfriend in the philippines and she doesn't know about me. i'm pretty much on the back burner,emotional,
i have short term disability.  would love to use it until this is over.,work,
stress makes me feel __sad__,emotional,
drastic job description change,work,
hard working,work,
anxiety! loss of time spent with family. depression. fear of getting sick or losing my job. i've worked through the whole mess. i'm scared because i don't feel like my manager has protected us enough. i feel that he has let more than he was supposed to in the store at one time. parking lot full and,work,
living with my husband,family,
we're getting chump change bonuses when other places are getting hourly increases and/ or hazard pay.,money,
having a bad mental day,emotional,
anxiety  depression  work family,work,
wearing those damn masks all day. my face is breaking out.,work,
"very stressful dealing with customers that don't wear masks and don't follow the social distancing,they are very rude and angry,",emotional,
ways to stay afloat while waiting on my social security disability,money,
love,emotional,
"giving your 1000% every day, working since da pandemic and not getting paid “hazard pay”!!!!!!!!",work,
coming in contact with covid at work,work,
"i loved my job, helping my coworkers and especially my customers. but, lately,  i don't feel the security and safety as i once felt before the virus. at times the strain becomes too much to handle. especially when the management team doesn't back you.",work,
i’m so anxious about going to work that it’s to the point of crying and i don’t know what to do,work,
my work makes me feel i can't be myself and also makes me feel like i'm not worthy of a full bonus when i work just as hard as everyone else the attendance policy is not good especially when i have to keep correcting them that i have no absence but everytime i look they have me down late or absent,emotional,
don't neef to blow it this time.,emotional,
getting hours cut when we are about to get a bonus.,work,
help,emotional,
my work makes me feel depressed,work,
i struggle going to work everyday because of the corona virus i'm in my sixties i'm afraid of getting sick and i'm tired of going to work and nobody following the rules people don't wear their mask but the associates have to wear their masks i just want to stay home but walmart does not pay us to st,work,
"working at walmart is challenging when things are normal.  but now with covid19, things are out of control.  we are forced to wear masks while we work, which makes our jobs ten time harder than before. it's rediculous and almost unbearable!  manager and customers alike have zero empathy for us.",work,
my work makes me feel anxious.,emotional,
"i am an ""essential"" worker in a pharmacy. hearing caronavirus jokes greatly disturbs me. what should i do?",work,
lack of relationship,emotional,
my stress makes me feel _unproductive tired like i cant move and my brain wont down___,emotional,
i may have covid19 it started in the middle of the night,medical,
drugs,medical,
the way we are treated by customers especially during the rationing with no backup from management. we are supposed to just smile and say thank you for calling me a....,work,
my stress makes me feel __hyper__,emotional,
"relax the inventory, mods, displays. associates afraid.",work,
let down,emotional,
stress with work and home,work,
"having disinfection cleaner and paper towels,hand sanitizer?????",emotional,
wearing a mask and feeling suffocated. hot and miserable,medical,
depression and anxiety,emotional,
paying bill,money,
i'm told i'm enjoyably toxic...,emotional,
i’m scared to go to work monday with virus in full effect in my city,work,
covd keeping me out of work.,work,
my boyfriend of 18years hasvs crappy attitude majority of the time but claims its me n he never compliments me. like today not 9ne compliment but his friends said 8 look astounding,emotional,
life,emotional,
single parent keeo moving forward,family,
controlling coworker,work,
my stress makes me feel ___depressed_,emotional,
are essential wal-mart workers getting 300$ for the month of april?,work,
my relationship makes me feel ___lonely_,emotional,
"we went back to closing at 10pm dealing with these rude customers, at 9pm no one is in the stores so why extend the closing",work,
i work in asset protection and feel the job is getting very dangerous,work,
procrastination,emotional,
my relationship make me feel mmymy life,emotional,
my family makes me feel sad,family,
being watched by management while trying to do your job.,work,
"i would be willing to cheer up anyone who is struggling with social distancing. if this person is an animal lover, so much the better.",emotional,
why are we not getting a “working in danger” pay increase?,money,
my relationship makes me feel lonely!,emotional,
stressed out with school and feeling competent in my abilities,emotional,
my asthma makes my job insanely difficult.,medical,
trak stimulus check,money,
my manager going thru divorce and starting to feel like she takes it out on us,work,
scare,emotional,
i struggle with low self esteem issues and with poor body image i want to be more positive about my life i am very quiet but would like to make more friends ,emotional,
just coping and not getting my anxiety level high. when anxiety is high get short with everyone and that is not me usually easy going.,emotional,
on my bill,money,
i'm afraid to go to work but i'm also afraid not to go,emotional,
my stress makes me feel some day's my chest hurts when i get to work.i am a senoir citizen and so is my room mate.so neither of us need to get infecte.,medical,
feeling lonely,emotional,
to help me take care of my childrens,family,
other makes me feel nothing,emotional,
my work makes me feel sad and frustrated ,emotional,
i use to work at walmart for twenty years n had to retire for health reasons anyway my son is disable n has worked for walmart for 17 years he loves it he has to have an hip replacement n he said why don’t i get  paid for my month off !!!! i think this is sad,work,
kust gove support to others and to tell my stoey ,emotional,
angry at life,emotional,
"not getting an hourly raise this year,but i am getting stressed out about this covid 19 pandemic and how no one cares about socialdistabcing and wearing masks like they are supposed to te",money,
life without work but enjoy retirement. wish the covid19 was done with. i don't understand all the hoopla in 1978 when hiv and aids was first discovered there was panic but not like this,work,
my boss makes me feel bad,work,
i have a lot of anxiety to the point where i get palpitations. what should i do?,emotional,
been on a leave of absence for 6 months and my short term disability has ended so i have no income,work,
husbands cancer returned,medical,
sex,emotional,
family makes me feel safe and strong.,family,
"i am nervous and upset about having to put my health and my daughter's life at risk. i work in the pharmacy, my daughter has asthma. i am so afaid some person out picking up their viagra script while clothes shopping is going to expose me to this virus and i am going to take it home to my child.",emotional,
budgeting,money,
my work makes me feel ___stress_,work,
depression and stress,emotional,
my stress makes me feel depression anxiety,emotional,
i woundered if i can get the stemales ck as i don't pay taxes,money,
working daily during the pandemic and walmart  owners not compensating it’s essential workers who are keeping their business going,work,
my relationship makes me feel unhappy,emotional,
what if you have pain,medical,
ogp stress virus,medical,
afraid to go back to work because of the virus.,work,
curious,emotional,
my stress makes me feel not going to work,work,
breakups,emotional,
my life makes me feel excited and happy.,emotional,
"my work makes me feel stressed,because the company has changed so much these past years,management doesnt care about the people who have worked for years for them but trea t the newbies like royalty",work,
aging and limited energy.,medical,
my life makes me feel unsure.. i just ended a 6 year relationship and can’t find my way back.. i’m mixed up.,emotional,
"depressed and crying a lot! been taken of by boyfriend, family and a crooked contractor, all within 3 months. i've gained all my weight back, now over. 200 lbs. i'm trying to find my happy place again! i want to feel better about myself!",emotional,
everyday worries about getting sick having to wear a mask all day with health problems,medical,
"i'm 64, and have bronchitis, how do i know the difference between the two, coronaviras and bronchitis?",medical,
work makes me feel frustrated and very sad.,work,
"relationship, young adult children.",family,
staying movation to do things,emotional,
my job i hate it!,work,
"found out today one of our walmart co-workers tested positive for the virus,i am not taking it very well, scary situation. ",medical,
how long does it take walmart to release some off a year for medical health.,medical,
can’t turn phone office,work,
why we didn't get the two dollar raise,work,
customers,work,
"everybody’s so miserable at work. there’s never enough workers and no body cares. they had to shut down the bakery and deli yesterday morning because there were no workers. today, same thing. the morale is so low, it’s depressing going into work",work,
my husband has a tbi and dissociative identity disorder. i'm his caregiver and i'm so overwhelmed and emotionally exhausted.,family,
"store so busy, cant keep up with everyday task. short staffed",work,
my school makes me feel terrible,emotional,
life makes me feel stressed and anxious insecure,emotional,
husband left me 6 months ago after being married 33 years,emotional,
my family makes me feel weak,emotional,
"i am diabetic type 2, want eat better and loose weight but maintain my weight after i loose it",medical,
my work makes me feel drained emotionally physically mentally,work,
i fear for my health working around a busy environment,medical,
what will happen to dept. 82 managers,work,
my relationship makes me feel  complete but i dont have a relationship,emotional,
pretty depressed,emotional,
extreme anxiety,emotional,
after working 2 weeks in the mob mess i left because of compromised immune system due to cancer treatment and diabetes and i was definitely scared especially after just getting over pneumonia in january.  leave never approved listed as inactive discount don't work. what about my health insurance,medical,
life makes me feel tired and poweless,emotional,
wait on my stimulus.check  netspend,money,
new on job,work,
s me feel __lost can't get birthday and,emotional,
my work makes me feel useless right now,work,
"good afternoon my name is geneka carroll i am a single mother of 4. this year has been very rough for me. i had to leave my job due to a very special woman gained her wings and went to heaven. im currently awaiting for a nee job, but at this point i'm in a very hardship situation. zp me and my",emotional,
family,emotional,
i can’t get the phone number to cancel my ins. i retired quit and lost it and our team leader is zero help. i also can’t get my last two pay stubs as i was getting them on line.,work,
wearing masks doesn’t keep you from getting the covid . everyone coming into the store should wear them . that’s the only way to stay safe. that’s all,work,
"i try to say “i’m not stressed.” but i am. dad is in hospice in another state. on nights to help store, so lil sleep. husband won’t let me have a time alone to regroup. just piles of little stuff.",emotional,
that so many customers refuse to wear a mask. i am a cashier and those customers are too close to me,work,
"my work makes me feel that 20years working as a department manager doesn't mean anything. i know that this is a place of business. i hurt my back and have been unable to work, i been in therapy and had shots in my back trying to help. my 12 weeks end on the 22nd and i have to have another shot.",work,
wearing the mask i can't breath wearing them,medical,
my stress makes me feel vulnerable and at risk of being targeted,emotional,
need help on my electric and gas bills,money,
associates will get another bonus,work,
"anxiety, depression, intrusive thoughts, weight loss",emotional,
people are shopping as families. two parents and lots of kids. why are we not stopping them at the door and requesting them to sent one parent to shop. .,work,
i don’t like a mask for 8 hrs,emotional,
customers not wearing mask,work,
i'm on  leave of absence  until  june the 9th  and i worry about things and i think i ran out of pto time,medical,
dercims disease,medical,
son and dad communicate,family,
going to work not knowing what kind of people you are getting exposed too rude people ,work,
am having problem with money right now am working  from paycheck to paycheck,money,
trying to take care of my 80 yr old mother who wont listen keep up with the house and work full time i feel like i'm losing it.,family,
being afraid of getting sick,emotional,
catching the virus from the people that come in and dont practice the 6 foot rule and get mad at us for asking them to move away from the hot bar and keep their hands off the glass,work,
"wearing a face mask, especially all day.",medical,
the face man can't breath in them,work,
why is it that all of the walmart workers do not get $300 .00 also ? we are all struggling doing this virus and essential workers . it should not matter whether or that we are part time or full time. as cashier we are all stressed !!,work,
trying too do my best on my new promotion ,work,
"work makes me feel __sad, sore and exhausted",work,
why doesnt all stores close to clean when they have someone with the virus on staff ? we have had 3 people and havent closed our store to clean now that its getting bad again ??,work,
my family makes me feel unwanted and no longer needed.,family,
medical  health issues.  axiti due to it,medical,
trying to get my husband and sister to there doctor appointment,family,
i feel that we deserve hazardous pay like other companies are sharing with their associates. we go to work everyday and don't know what our customers are carrying around with them. we put our lives at risk every time we clock in.t,work,
paying bills,money,
being forced to wear a mask when  costumers can walk around in the  store with no mask not following the direction of going in the same way. blocking isale and bring their kids in letting them run and play ( we're not a play ground nor should we be baby sitter),work,
i'm on  leave of absence  until  june the 9th  and i worry about things and i think i ran out of pto time,work,
