sentence1,sentence2,label,,,,
i am diagnosed with paranoid schizophrenia due to substance abuse. i didn't complete my bachelor degree. i tried 5 times but couldn't do it 🤷‍♂️. i tried to work but again i quit after 1 year and i also had my attacks after few months i qiut my job. i don't take any substances nymore. i am currentl,i am diagnosed with paranoid schizophrenia due to substance abuse. i didn't complete my bachelor degree. i tried 5 times but couldn't do it 🤷‍♂️. i tried to work but again i quit after 1 year and i also had my attacks after few months i qiut my job. i don't take any substances nymore. i am diagnosed with paranoid schizophrenia due to substance abuse. i didn't complete my bachelor degree. i tried 5 times but couldn't do it 🤷‍♂️. i tried to work but again i quit after 1 year and i also had my attacks after few months i qiut my job. i don't take any substances nymore.,1,,,,
no one loves/likes me,common issues i have relationship issues due to my terrible past. i’m currently having an affair with someone i love. my husband is impossible to talk to. i struggle with anxiety and depression. i make stupid decisions and put myself in bad situations. relationships anxiety depression no one loves/likes me,1,,,,
Depersonalization is not fun. Being in a body feels so strange right now.,I'm depressed and losing control of my life.,0,,,,
group,life makes me feel like i can no longer provide for my family im scared of failing them and i’ve had my first breakdown this evening without them knowing how much i’ve been struggling and how long for,0,,,,
troubled relationship stay or go?,stress,1,,,,
my life makes me feel,i want to get something off my chest and i’m not sure what the next steps are after that,1,,,,
porn,i want to be back in the group with julian,0,,,,
workplace bullying,I am bullied at school,0,,,,
i’m feeling confused,"parents, lonely, i feel like my mom really loves me but she doesn’t take care of me, spend time outside with me outside of our home, doesn’t go outside, doesn’t really pay attention, i feel terrible and empty but i don’t feel like i deserve to be stressed cause like i’m i guess lazy but then i tell myself that maybe there is something wrong with me but then i tell myself that that is probably just me telling myself that so i don’t feel bad for being lazy but i don’t feel better, i’m numb, guy i'm seeing says i have a pattern of being too needy. he broke up with me ..or nearly so. i'm having trouble accepting it. a part of me knows he's not right for me, but i can't seem to let go. i don't know why i want him so much when he doesn't want me. struggling., i'm feeling sad about something and i need to talk to someone, i don’t want to feel this way anymore, i’m getting hard time trusting people and i feel like i’m pushing people away, since 2014, my older brother and his wife have constantly been undermining me. they kept ignoring my facts and repeatedly called me stubborn and judgmental. i began doubting myself and lost my confidence during that time. is this gaslighting?, lonely, children",0,,,,
Surrounded by company but still feel alone.,"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",0,,,,
wife angry,deconstructing self imposed realities,0,,,,
Just lost a job that would have changed my life.  They gave me no reason or explanation.  Everyone said it was a sure thing.,Had my first interview last week Just got my first job from it today Can't help feel miserable about it though,1,,,,
long distant relationship,eating disorder,0,,,,
I feel like my gf is mad at me,"I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
Will I be a good mom?,So nervous for school it's starting tomorrow,0,,,,
i need help deciding if the guy i've been seeing is actually interested or if he is just looking for friends with benefits,toxic friends,0,,,,
anxiety,"i want to stay away from my family because i don't want a family anymore, hunted by memories",0,,,,
i feel like everyday i space out more and more. and can't go to my therapist because of what's happening with the coronavirus and i have no one else to talk to,i confronted my bf and grown daughter when i discovered they were sexting,0,,,,
"I'm not suicidal. I'm not capable of doing such an act on myself but if a bus is driving right at me, I wouldn't run.",I feel stressed out about relationships and i don’t know if I’ll ever have one,0,,,,
Boss makes me feel frustrated,Stressed about money,0,,,,
bullying,bully,1,,,,
suicidal thoughts,"friends with benefits, relationship",0,,,,
my relationship,loneliness,0,,,,
Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
a guy i was dating said he couldn’t fully commit to me. he said he really couldn’t figure out why. we separated and before i left he said this is probably a decision he’s going to regret.,parents just got divorced and my dad is abusing me,0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,0,,,,
children,girls,0,,,,
hostel,i don't want to go to hostel,1,,,,
No one actually cares about me. Being left alone when I'm struggling sucks.,How do you get over an abusive past?,0,,,,
I feel stressed out about relationships and i don’t know if I’ll ever have one,I faced a lot of homophobia today from people who I didn't even think were homophobic,0,,,,
Broke up with my gf,"I feel happy, I am very happy, full of joy",0,,,,
relationship,"is it okay to be the one cheated with?, i recently been dumped by my boyfriend of 7 years",1,,,,
not eating,i dont want to eat,1,,,,
i'm there for my coworkers but they rarely help me when I need it.,How do I get enough motivation for studying?,0,,,,
my girlfriend started vaping/smoking again and i don’t want to be with someone who does that but i love her,life in general,0,,,,
I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
I have no friends at all,"I went to the psychologist and she diagnosed me of bipolar, obsessive compulsive personality disorder. She thinks I need more catharsis. But I think she needs to help me take everything out. I cant even write my feelings down anywhere.",0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,This depression is just getting worse... I feel no hope...,0,,,,
Why did I stoop so low and dated a married man. ....I broke it off but now I miss him,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I'm tired of my dad treating me like a piece of shit,0,,,,
relationship,"i'm lost and tired, my girl left me because i got upset that she doesn’t wear her mask at work she’s endangering the lives of her family because masks make her feel uncomfortable",0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,I have no friends at all,1,,,,
"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,0,,,,
boyfriend wont say if we've broken up,i like a guy and i think he only want me for sex,0,,,,
emotions,addiction love moving past a relationship,0,,,,
i live with my emotionally abusive mother and stepdad who also sexually harassed me for 4 years,temptation of sex while talking to other people,0,,,,
My partner doesn't understand me.,Can't find motive to study,0,,,,
feel like i miss my boyfriend more than he misses me,lycra,0,,,,
bulling,"im here to help meybe ill give some advice if you want, i have been struggling with mental health problems for about 8 months and my doctor has advised to try something rather than just tablets",0,,,,
relationship,"relationship issues, lost in life, difficult past",1,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,I'm depressed and losing control of my life.,0,,,,
I feel black if that makes any sense,My life makes me feel,1,,,,
I want to kill myself,I need help,1,,,,
Living without drugs is incredibly challenging.,School makes me feel lost out of control,0,,,,
If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,Why so girls have such a strong ego of not telling guys of their feeling for them,1,,,,
i am a christian woman and struggle with same sex attraction,physical abuse in relationship,0,,,,
anxiety and depression,"Gender identity, Depression, Anxiety",1,,,,
Relationship makes me feel angry,Will I be a good mom?,0,,,,
I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,I want to be more active but I'm too depressed.,0,,,,
my relationship makes me feel,husband doesnt want to talk about problems,1,,,,
Will I be a good mom?,I want to be more active but I'm too depressed.,0,,,,
my stress makes me feel like i can\u2019t do anything. i made my younger sibling sad and i just fell into a never ending state of depression.,school just feel incredibly depressed. i have bdd and my life is a mess in general...,1,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,Why so girls have such a strong ego of not telling guys of their feeling for them,1,,,,
i want to run away so i don’t have to go to school tomorrow,a boy problem,0,,,,
my relationship makes me feel sad and happy,maintaining a relationship,1,,,,
can I hide a pregnancy from my mom?,"I hate school so much, I want to be sick so I don't have to go. I hope I get a fever",0,,,,
i find it difficult to deal with my mother-in-law,"repetitively feel extremely happy, to extremely depressed to the point of being able to do nothing but be pathetic and cry for a long while",0,,,,
life makes me feel,relationships,0,,,,
anxiety and depression and relationship,powow,0,,,,
general school stress,"i feel like i am throwing my life away, i feel like i dont have a life of my own",0,,,,
"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.","My depression is mostly irritating after all these years, but still awful.",1,,,,
i feel very depressed my relationship is struggling and sometimes feels toxic i've lost most of my friends and feel very alone,loneliness,1,,,,
Boss makes me feel frustrated,"I am nervous, I don't know why. I can't live much longer. I want to die.",0,,,,
boyfriend wants a break,family stress,0,,,,
yes,depression/ social anxiety/ self harm/ school/ stress,0,,,,
"relationship,advice,problems","advice relationships,advice,problem",1,,,,
I scared I may be pregnant and he won't give up his old life,Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,0,,,,
life,ansiedad,0,,,,
Work makes me feel negative,I don't feel like she loves me as much as she says she does,0,,,,
feeling alone,my life makes me feel like a burden,0,,,,
"I feel like I have no one to talk to None of my so called ""friends"" are really there for me I feel so alone","I feel so alone None of my so called ""friends"" ever talk to me and I feel like I can't even talk to them",1,,,,
"I'm so confused rn, I was hugging my close guy friend and all of a sudden he kisses me on my cheek and then kisses me on my neck! I had no clue how to react to this act of his but I liked the feeling. What should I do about this incident?",I have trichotillomania and I've never told anyone :/,0,,,,
my relationship,"i need advice, just talk",0,,,,
mental health,"crush, being ghosted",0,,,,
"When I was a child, I was bullied a bunch and didn't have supportive friends. Although it was only verbal bullying, I wonder if that's what caused my social awkwardness.",I wish you could choose who your parents are.,0,,,,
need advice from a woman,meep mop,0,,,,
I want to kill myself. Suicide is the best option.,Surrounded by company but still feel alone.,0,,,,
Days just get lonelier with no relief.,No one actually cares about me. Being left alone when I'm struggling sucks.,1,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,I just really need someone to talk to.. I feel so lonely..ðŸ˜”,0,,,,
i do alot of things to distract me from my depression and ive taken test and it says i have severe depression when im not even in my 20s,feel like i miss my boyfriend more than he misses me,0,,,,
"i feel very lonely, i feel like i don't have no one to talk to, to understand me","my life makes me feel scared, trauma,bad, depressed",1,,,,
Work makes me feel negative,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
Work makes me feel negative,My BPD girlfriend just discarded me. I feel so low.,0,,,,
"anxiety,depression","i'm an avoidant personality with cptsd.  i have just recently had a severe mental awakening to my isolationist lifestyle and am overwhelmed by sadness for the life of loneliness that i seem to have created. anxiety,depression",1,,,,
I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,i think a sexual assault several years ago has damaged me more than i realized,0,,,,
I don't know if I'm ever going to fully outgrow my trauma.,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
I'm tired of my dad treating me like a piece of shit,"Depression is a shadow that lurks behind me. When I step into light, it may fade, but it will always be there.",0,,,,
"I was happy in the beginning, but I can't help but think he invaded my womb. I honestly regret getting pregnant, yet he's excited. My friends say it must be the hormones... but I don't that's what it is. I bought into an imaginary utopia.",my family really doesnt care about me I think.,0,,,,
woman trouble,"stress, insomnia and anxiety",0,,,,
my stress makes me feel ___angry and tired_,what is the catastrophic hypothesis?,0,,,,
hi  drawings art business billionaire,mental health,0,,,,
Can someone figure out my sexuality for me because I can't,Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,0,,,,
Surrounded by company but still feel alone.,I'm tired of my dad treating me like a piece of shit,0,,,,
support me,i struggle so much with limits of our mortality the idea of not existing anymore or my child runs through my head daily i cannot live because im too focused on death no matter how hard i try to move on it doesn't go away,0,,,,
I feel so alone..,"I tried to quit smoking, for 7 months, days after days, promises after promises.",0,,,,
I wish you could choose who your parents are.,Having a bipolar Mom means I never know which Mom I get that day.,0,,,,
break up,my ex,1,,,,
loneliness,study related misery,0,,,,
i need a mate,kinky,0,,,,
Boss makes me feel frustrated,I think I may have postpartum depression. I'm scared to ask for help because I'm afraid someone will take my baby.,0,,,,
Relationship makes me feel angry,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
anxiety,mom that works and goes to school full time and has anxiety,1,,,,
future,rubb,0,,,,
i feel depressed,my relationship makes me feel,0,,,,
Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,3 years ago I was diagnosed after 5 years of anorexia. My friends and family think I've moved past this but I really haven't.,0,,,,
breakup,heartbreak,1,,,,
problems friendship,stay at home,0,,,,
"my life is failing , right now me and my boyfriend are on the verge to breaking up and it's my fault , it's more i need to get out",military,0,,,,
i feel overwhelmed with all the decisions i'm making as a young college student and i don't know if i'm making th right choices,autism,0,,,,
i was abused by a friend at a young age,daily struggles,0,,,,
Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,My dad is racist,0,,,,
anxiety,insignificance / anxious / pained,1,,,,
"loneliness, anger issues, depression",loneliness,1,,,,
relationship problems and anxiety,athletic,0,,,,
Living in a non military community is hard. Most people you meet don't understand what obstacles we as military wives face.,"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",0,,,,
I don't feel like she loves me as much as she says she does,I'm tired of my dad treating me like a piece of shit,0,,,,
I'm worried about losing my job,"I'm pregnant, my husband can't find work, he can't afford to finish his schooling, we're living with his family and we hate each other but we can't move out. This has been going on for three years and the pregnancy is just one more thing on my back. I feel so trapped.",0,,,,
I have left school but the bullies have never left my mind.  They still mock me.,I feel really stressed about college.,0,,,,
Haven't seen my dad in 3 years after a traumatic experience. Seeing him in 2 weeks. Scared but kinda excited?,Living without drugs is incredibly challenging.,0,,,,
"The girl I like keeps hanging out with this other guy,what do I do?",I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
coming out,"i do not know what to do i have no control and always fearful that i might upset my partner, i'm starting to have feelings for another person",0,,,,
anxiety,just decompressing,0,,,,
mother in law,parents,1,,,,
I'm tired of my dad treating me like a piece of shit,"I went to the psychologist and she diagnosed me of bipolar, obsessive compulsive personality disorder. She thinks I need more catharsis. But I think she needs to help me take everything out. I cant even write my feelings down anywhere.",0,,,,
depression and anxiety,about voices i hear,1,,,,
Will I be a good mom?,Being emotionally unstable is really exhausting because every little thing can trigger my depression and I’m always sorry for it because I don’t want other people to have to be careful about what they can or can’t say to me.,0,,,,
"anxiety, depression and an eating disorder",homeless,0,,,,
depression parents divorce,depression anxiety,1,,,,
my relationship makes me feel,my something makes me feel i don't know,1,,,,
deprressed,self harm,1,,,,
my grief is so intense. people think it was just a bird . but he wasnt just a bird. he was MY baby bird and i would do anything to have him here right now. i cant stop the tears that keep falling.,I cry literally every night just because I know when I wake up I have to go to school,0,,,,
cocaine addiction,"relationship, relationship issues",0,,,,
help,moving on after divorce,0,,,,
i hate myself i keep being bullied i just lost my dog i searched in all the town for more than a week. i feel si ugly rn and crying  is not something i usually do,love,0,,,,
"i miss my manipulative ex, while i’m in a relationship.",my life made me hollow,0,,,,
awkward,"adult, teenage",0,,,,
I feel so alone..,I have trichotillomania and I've never told anyone :/,0,,,,
No one's here for me…,i feel i am getting apart fron my family,0,,,,
"I want to live with my dad, but there's problems",Trying to live with my dad,1,,,,
i'm struggling with my depression have done for years need help!,"i feel so lonely, sad, hopeless, helpless, anxiety, depress i want someone to be there as an companion , anxiety depression loss of weight panic attacks",1,,,,
someone who i considered my best friend dated my ex she got mad when i confronted her and said we were barely friends am i in the wrong to get mad?,common issues,0,,,,
I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,"Concerned now that the reason behind being tired all the time, a fluctuating appetite, inability to focus and this vague ominous feeling are because the depression back...if that's a thing that ever really goes away.",0,,,,
So telling him goodbye was as bad as it sounds . Getting a goodbye sounds worse . It was as if he breath me out no work no nothing just simple and meaning less .,I feel so alone..,0,,,,
"relationship issues, anxiety, suicidal, depression",eating disorder,0,,,,
anxiety,mental illness,1,,,,
my mama always treats me like a baby and i have had enough of it,im very angry,0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,My dad is racist,0,,,,
sad,tony robbins,0,,,,
severe anxiety and panic attacks and this feeling of overwhelm that i can't seem to get rid of.,i have body hair all over and i can’t get rid,0,,,,
i need to play meaningful games to keep myself occupied,feeling better  still going through lots of anxiety though,0,,,,
depression/ anxiety/ eating disorder,"love life, i want to be more manly to gain genuine love and affection i’d like to be less kind and friendly and actually get somewhere with women i want to be more than the “gay” friend",0,,,,
advice on a guy,advise needed,1,,,,
My daughter has mental health issues,My daughter has mental health issues and im struggling and tired,1,,,,
how to relax and go to sleep,birthing,0,,,,
i’m can’t stop worrying and panicking,"i overthink about everything, stress myself out, and become anxious",1,,,,
I am scared that PTSD is going to ruin my life.,I have trichotillomania and I've never told anyone :/,1,,,,
ejaculate,"1- i want to know what is the chance of getting the virus if i stay home always. order food online and not go out. it has been already 6 days i am self-isolating at home, with my husband.  2- i am so scared of getting the virus, what should i do if i see the symptoms? i am 30, my husband is 34.",0,,,,
i said something stupid to someone on the internet and now we have fallen out,"well my boyfriend just recently broke up with me and we were in a long distance relationship. i made the dumb move on continuously texted him, today is the first day im trying to go with no contact",0,,,,
Family troubles life is just too gard,Family troubles and not coping,1,,,,
trusting and anger,ice cream,0,,,,
If I'm not interested in him but am trying to get over someone should I still spend the weekend camping with his friends,"Im tired, I havent been in civilisation for a month, Im in the army, I need company.",0,,,,
Relationship makes me feel angry,Dreading the weekend. Addiction is not gonna win this time. Cold turkey has never been such a terrifying concept…,0,,,,
Why so girls have such a strong ego of not telling guys of their feeling for them,"Im tired, I havent been in civilisation for a month, Im in the army, I need company.",0,,,,
I don't feel like she loves me as much as she says she does,"Here’s my issue. I really like this girl and I want to ask her out but when I get nervous I talk at about 100000 words per minute and people will commonly say what or repeat yourself and if I build up the nerve to ask, I just feel like me repeating myself because sin sluring my words or talking too fast defeats the romantic part about it! Any suggestions??",1,,,,
I just want a baby so bad: ( is that so hard to have???,So nervous for school it's starting tomorrow,0,,,,
work,work virus,1,,,,
i feel very overwhelmed and sad. i feel like i'm drowing sometimes,saddd sad,1,,,,
Fear of death,Death,1,,,,
i just need someone to talk to,just wanna talk. someone who can act like they care for few minutes talk,1,,,,
Issues with my ex,Break up issues,1,,,,
suicide and self harm,"self harm, depression, anxiety, i hate myself",1,,,,
girlfriend,i want my girlfriend back,1,,,,
"anxity, lonely",i can't study i can't concentrate i am not productive at all,0,,,,
i don’t wanna live anymore,"i am extremely insecure about my self image, and no matter how many people say that i am good enough i always think that i am never enough, i’m insecure about a lot of things like how i look, how others judge me, how my family fights a lot, i’m failing and i’m really sad for no reason at all :(",0,,,,
life makes me feel like i'm at a party that's one chair short and i'm the person that everyone wishes would leave so that there'd be enough chairs for everyone but no one will ask because that'd be awkward,chat,1,,,,
sex,"women, women",0,,,,
"I'm curious to explore my homosexuality, I don't know how i'm gonna react to it. So yes, i'm looking for 29+ woman.",I constantly think my kids would be better off without me.,0,,,,
I'm gay and no one knows. Should I tell people?,I've bin bullyed for years and years and i want to have a normal life because i thinkin my hole life why me,0,,,,
3:00 AM,stress,0,,,,
I just want a baby so bad: ( is that so hard to have???,"My depression is mostly irritating after all these years, but still awful.",0,,,,
i hate myself i dont want to live,trichotillomania,0,,,,
my stress makes me feel,something my something makes me feel,1,,,,
i am alone pregnant and don’t see a point anymore,life problems,0,,,,
narcissism,chuld ofna narcissist,1,,,,
My BPD girlfriend just discarded me. I feel so low.,This depression is just getting worse... I feel no hope...,0,,,,
lonely,i think i messed up,0,,,,
"I went to the psychologist and she diagnosed me of bipolar, obsessive compulsive personality disorder. She thinks I need more catharsis. But I think she needs to help me take everything out. I cant even write my feelings down anywhere.",i think a sexual assault several years ago has damaged me more than i realized,0,,,,
i feel i am getting apart fron my family,Will I be a good mom?,1,,,,
my relationship makes me feel _sad___,relationships,1,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,0,,,,
I have left school but the bullies have never left my mind.  They still mock me.,School makes me feel lost out of control,0,,,,
I'm a fucking veteran and got treated like shit by a fucking city cop? what the fuck I come home for!,"i don't know how to accept my sexuality. but i don't know if i'm bi or gay. there is so much bi-phobia and it sucks. i don't know if i could ever be with a woman, but i think girls are hot. and i like them a lot more than guys. BUT IDKIDK.",0,,,,
Wish to tell him about my grief very soon,I have borderline personality disorder. It's literally the worst and I wish that I could 1) tell everyone I've ever hurt that I never meant to & 2) snap the fuck out of it and be normal,0,,,,
I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,Having a bipolar Mom means I never know which Mom I get that day.,0,,,,
I'm bored at home. He's out somewhere. I tried talking to him and he didn't really care.,Living without drugs is incredibly challenging.,0,,,,
Grandmother is moving out at the end of the week. I wish I didn't feel so relieved.,Family makes me feel restricted pressured,1,,,,
loneliness feeling lost,i dont know what to do,1,,,,
i am lonely,bored,0,,,,
my relationship makes me feel good but i can't commit cause i still want to try other people,how can i be nice to people?,0,,,,
I'm just now realizing how lonely I actually am,I believe if she comes over today I might just cry and hold her I can't stand being alone and thinking about how I'm worth nothing to a lot of people I care about,1,,,,
"my boyfriend keeps telling me to go die, stopping me from seeing my best friend , trying to conrol my life all the time",loneliness,0,,,,
"Yesterday, I couldn't help but wonder what my life would have been if I would have married my ex.",I constantly think my kids would be better off without me.,0,,,,
i feel so unhappy with my efforts,i feel so fuckin empty,1,,,,
I feel so alone..,i need money and my job  freaking sucks they barley pay me anything,0,,,,
I feel like my gf is mad at me,Will I be a good mom?,0,,,,
college,school,1,,,,
i text to others guys even though i'm in a loving relationship and he's found out and walked away,i text to others guys even though i'm in a loving relationship and he's found out and walked away,1,,,,
I miss him so much. Sudden death fucking sucks. My lover my future gone. If there was a billionth of a chance I could be with him…,My family thinks I'm a failure and I'm only 14...,0,,,,
crush,"married couple friends, relationship",0,,,,
"I love my boyfriend, soon to be husband. I just don't think he's happy with me anynore .","why do parents always give me so much crap for nothing, they just add more, and more stipulations",0,,,,
I just really need someone to talk to.. I feel so lonely..ðŸ˜”,I feel really stressed about college.,0,,,,
Days just get lonelier with no relief.,Depersonalization is not fun. Being in a body feels so strange right now.,0,,,,
my relationship makes me feel toxic and depressed,"i think i might have depression, bipolar",0,,,,
i think a sexual assault several years ago has damaged me more than i realized,"The abuse I'm going through is beginning to be unbareable, but I've got 1 more year until I can leave. No one helped me when I spoke up about it 4 years ago, no one will help me now.",1,,,,
gay muslim,homosexuality,1,,,,
"social anxiety, being introverted","social anciety, being introverted",1,,,,
my relationship makes me feel anxious,"i am very lonely and i need a good friend, girls",0,,,,
problems friendship,"my relationship makes me feel, relationship",1,,,,
massage,"relationships, relationships",0,,,,
breakup,i just found out my dad is gay but he doesn’t know that i know,0,,,,
